                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4107,                 3.3031,                 11.062,                 1.2082,                0.00038,                0.02041,                0.00022,                  8e-05,                0.00131,                0.07083,                0.00572,                 0.0023,                 2.1637,                 2.9589,                 4.5994,                 1.2571,             0.00065728,             0.00065728,             0.00065728
                      2,                 2.6558,                 2.9863,                 5.8726,                 1.3085,                0.00082,                0.01921,                0.00182,                0.00118,                0.00165,                0.03842,                0.00234,                0.00127,                  4.179,                   28.9,                 4.6838,                 8.2524,              0.0013108,              0.0013108,              0.0013108
                      3,                 2.7641,                  2.893,                 3.7951,                 1.4043,                  7e-05,                 0.0012,                  3e-05,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0019512,              0.0019512,              0.0019512
                      4,                 2.7529,                 2.9572,                 3.2716,                 1.3797,                 0.3454,                0.02881,                0.02877,                0.01156,                0.35979,                0.03001,                0.03165,                0.00877,                 3.1872,                 10.379,                 3.4554,                  6.805,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.6633,                 2.7897,                  2.586,                 1.4044,                0.31122,                0.13806,                0.09374,                0.03278,                0.27151,                0.12125,                0.09824,                0.03848,                 2.5351,                 2.5323,                 1.7075,                 1.5205,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.6079,                 2.5972,                 2.4719,                 1.2864,                0.30644,                0.11404,                0.09129,                0.03148,                0.30742,                0.14886,                0.10563,                0.04029,                 2.5224,                 3.3428,                  1.975,                 1.5409,               0.001901,               0.001901,               0.001901
                      7,                 2.5201,                 2.4046,                 2.3081,                 1.3342,                0.35048,                0.15606,                  0.134,                0.04778,                0.33661,                0.16687,                0.13145,                0.05081,                 2.2594,                 2.2853,                 1.7026,                 1.3022,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.4377,                 2.3904,                 2.2396,                  1.279,                0.33875,                0.13926,                0.13242,                0.05257,                0.36315,                0.17647,                0.17885,                0.08194,                 2.3079,                 2.0217,                 1.5762,                 1.3214,              0.0018614,              0.0018614,              0.0018614
                      9,                  2.302,                 2.2367,                   2.17,                 1.2518,                0.36753,                0.17407,                0.14567,                 0.0554,                 0.3681,                0.21609,                 0.1828,                0.07511,                 2.2142,                 2.2684,                 1.5129,                  1.293,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.3722,                  2.344,                 2.1438,                  1.264,                0.38847,                0.14166,                0.12949,                0.04315,                0.42332,                0.16206,                0.15794,                0.06115,                 2.4599,                 1.9891,                 1.7941,                 1.3007,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3557,                 2.2046,                 2.2017,                 1.2834,                0.40361,                0.18607,                 0.1534,                0.06294,                0.36131,                0.20528,                0.18068,                0.08055,                 2.1307,                 2.0326,                 1.4996,                 1.2651,               0.001802,               0.001802,               0.001802
                     12,                 2.2277,                 2.2352,                 2.0458,                 1.2702,                0.50377,                0.18607,                0.18607,                0.07668,                0.48506,                0.19328,                0.21179,                0.10025,                  2.094,                 2.0367,                 1.5574,                 1.2349,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.1869,                 2.3326,                 2.0342,                   1.22,                0.42959,                0.17449,                0.15768,                0.06616,                0.39352,                0.20168,                0.18412,                0.08478,                 2.0579,                 2.1126,                 1.4421,                  1.225,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.2734,                 2.0993,                 2.1274,                 1.1758,                0.46041,                0.16389,                0.18008,                0.07204,                 0.4018,                0.17527,                0.19076,                0.08975,                 2.0793,                 2.0511,                 1.5012,                   1.23,              0.0017426,              0.0017426,              0.0017426
                     15,                  2.193,                 2.1984,                 2.0952,                 1.1865,                0.46267,                0.17887,                0.16811,                0.06354,                 0.3664,                0.16687,                0.13411,                 0.0496,                 2.1066,                 2.0545,                 1.5876,                 1.2232,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.2017,                 2.1312,                 2.0501,                 1.2044,                0.46895,                0.14286,                0.18183,                0.06858,                0.37825,                0.12485,                0.16061,                0.06916,                 2.2804,                 2.0198,                 1.7217,                 1.2689,               0.001703,               0.001703,               0.001703
                     17,                 2.1407,                 2.0396,                  2.021,                 1.1844,                0.50956,                 0.2033,                0.21256,                0.08862,                0.44364,                0.21849,                0.22327,                0.10143,                 1.9407,                 1.8149,                 1.3687,                  1.181,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.0801,                 2.1014,                 2.0116,                 1.1941,                0.49372,                0.20528,                0.22412,                0.10297,                0.43873,                0.19928,                0.22159,                0.09969,                 1.8674,                 1.7612,                 1.3861,                 1.1597,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.973,                 1.9535,                 1.9628,                 1.1814,                0.47786,                0.18007,                0.19982,                 0.0891,                0.46346,                0.18848,                0.22585,                0.10379,                 1.9597,                 1.7839,                  1.414,                 1.1941,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.1012,                 2.0906,                 2.0438,                 1.1407,                0.54988,                0.16866,                0.22367,                0.09844,                0.52792,                0.18007,                0.23664,                0.11352,                 1.8768,                 1.8235,                 1.6186,                 1.1553,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.0128,                 2.0065,                 1.9009,                 1.1352,                 0.4995,                0.21008,                0.22495,                0.10292,                0.46917,                0.20768,                0.23475,                0.10583,                 1.7582,                 1.7411,                 1.3185,                 1.1331,               0.001604,               0.001604,               0.001604
                     22,                 1.9351,                 1.8594,                 1.7945,                 1.1097,                0.53801,                0.18734,                0.24047,                0.10663,                0.50517,                0.18367,                0.23548,                0.09628,                  1.941,                 1.8439,                 1.4512,                 1.1745,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.9805,                 1.9951,                  1.792,                 1.1432,                0.54666,                0.20768,                0.24465,                0.10991,                0.52255,                0.22329,                0.26235,                0.13035,                 1.8908,                 1.7525,                 1.3086,                 1.1737,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.9649,                  2.148,                 1.8736,                 1.1423,                0.43397,                0.19328,                0.17273,                0.07723,                  0.404,                0.20588,                0.17346,                0.07198,                 1.8814,                 1.7927,                 1.3466,                 1.1367,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.8914,                 1.8163,                 1.7526,                 1.1064,                 0.5596,                0.18763,                0.26554,                0.13007,                 0.4921,                0.17167,                0.25062,                0.12099,                 1.7436,                 1.6523,                 1.2711,                 1.1452,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.9049,                 1.9408,                 1.8404,                 1.1104,                0.52412,                0.21489,                0.19902,                0.08628,                0.43177,                0.19328,                0.17067,                0.07052,                 1.7657,                 1.7101,                 1.2974,                 1.1328,               0.001505,               0.001505,               0.001505
                     27,                 1.8807,                 1.7877,                 1.7405,                 1.0893,                0.53604,                0.19928,                0.22658,                0.10873,                0.42477,                0.20648,                0.21201,                0.10089,                 1.7844,                 1.6431,                 1.2572,                 1.1256,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.8685,                  1.809,                 1.7805,                 1.1224,                0.56915,                0.20616,                0.22204,                0.10284,                0.44548,                0.18727,                0.18879,                0.08284,                 1.8401,                 1.7362,                 1.3626,                 1.1555,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.8541,                 1.9468,                 2.0546,                 1.0945,                0.58263,                0.20168,                0.25032,                0.11666,                0.50057,                0.18367,                0.22119,                0.09632,                 1.8059,                 1.7391,                 1.4741,                 1.1433,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.8304,                 1.9653,                 1.7669,                 1.0828,                0.52612,                0.20659,                0.23755,                 0.1063,                0.44812,                0.18911,                0.21581,                0.09347,                  1.917,                 1.7995,                 1.3385,                 1.1561,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.8269,                 1.8261,                 1.7913,                 1.0926,                0.50058,                0.21128,                0.18751,                0.08906,                0.47743,                0.22089,                 0.2039,                 0.0836,                  1.784,                  1.747,                 1.3762,                 1.1354,               0.001406,               0.001406,               0.001406
                     32,                 1.8573,                 1.8913,                 1.8178,                 1.1161,                0.60534,                0.19928,                0.23904,                0.11363,                0.53314,                0.18727,                0.23164,                0.10974,                 1.7678,                 1.6696,                 1.4366,                 1.1259,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.8481,                  1.841,                 1.8053,                 1.1199,                0.52646,                0.20408,                 0.2097,                0.10173,                0.43371,                0.18968,                  0.195,                0.09238,                 1.6472,                 1.5817,                 1.2871,                 1.0966,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.7884,                 1.9233,                 1.7373,                 1.0823,                  0.502,                0.21419,                0.23205,                0.11194,                0.47806,                0.21609,                0.23259,                0.11005,                 1.6249,                 1.6193,                 1.2078,                 1.0751,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.7806,                 1.8617,                 1.7076,                 1.1116,                0.56735,                0.21008,                0.22177,                0.10881,                0.52056,                0.21849,                0.23474,                0.10651,                  1.597,                  1.568,                 1.2837,                 1.0771,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8182,                 1.8201,                 1.7261,                 1.0916,                0.56238,                0.21128,                0.21847,                0.10027,                0.47826,                0.19808,                0.21315,                0.10321,                 1.7347,                 1.6974,                 1.1869,                 1.1125,               0.001307,               0.001307,               0.001307
                     37,                 1.7668,                 1.7252,                 1.7228,                 1.0896,                0.54462,                0.21248,                 0.2398,                0.10646,                 0.4451,                0.19208,                0.20032,                0.08136,                 1.7938,                 1.6629,                 1.1822,                 1.0995,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7688,                 1.8599,                 1.6853,                 1.0825,                0.61847,                0.22089,                0.27073,                 0.1267,                0.47984,                0.18367,                0.22745,                0.09978,                  1.708,                 1.6637,                 1.1733,                 1.1419,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.7112,                 1.7156,                 1.7322,                 1.0734,                0.59213,                0.22569,                0.26211,                0.12316,                0.52671,                0.21242,                0.24838,                0.11563,                 1.5753,                 1.4543,                 1.1857,                 1.0774,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.7101,                 1.7207,                 1.6176,                 1.0629,                0.58153,                0.22809,                0.23849,                0.11521,                0.47589,                0.21008,                0.22156,                0.09711,                 1.6011,                 1.5997,                 1.1745,                 1.0816,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.7366,                 1.7832,                 1.5942,                 1.0608,                0.58127,                0.23289,                0.26046,                0.13073,                0.52582,                 0.2303,                0.25396,                0.10797,                 1.5684,                 1.5656,                 1.1076,                  1.072,               0.001208,               0.001208,               0.001208
                     42,                 1.7079,                 1.7783,                 1.6136,                 1.0499,                0.55346,                0.22209,                0.26231,                0.13143,                0.45868,                0.20048,                0.23613,                0.10685,                 1.5896,                 1.6118,                 1.1346,                 1.0644,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.711,                 1.7367,                 1.7958,                 1.0588,                0.59287,                0.22569,                0.26404,                0.13446,                0.54668,                0.21248,                0.24465,                0.11635,                 1.4996,                 1.5274,                 1.1846,                 1.0559,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.6915,                 1.7021,                 1.6533,                  1.058,                0.60857,                0.22089,                 0.2694,                 0.1337,                0.49197,                0.19808,                0.23177,                0.10689,                 1.6168,                 1.5177,                 1.1542,                 1.0652,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.6872,                 1.7256,                 1.6011,                 1.0629,                0.51936,                0.22929,                0.22747,                0.11324,                0.50097,                0.23259,                0.24361,                0.10165,                 1.6247,                 1.5211,                 1.1785,                 1.0875,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.6462,                 1.6581,                 1.5441,                 1.0533,                0.51899,                0.22809,                 0.2459,                0.11609,                 0.4886,                 0.2413,                0.27226,                0.13199,                 1.6471,                 1.6435,                 1.1558,                 1.1099,               0.001109,               0.001109,               0.001109
                     47,                 1.7391,                 1.6353,                 1.6481,                  1.034,                0.58219,                0.23649,                0.27346,                0.13728,                0.50718,                0.21126,                 0.2405,                0.11105,                 1.6227,                 1.4897,                 1.1821,                 1.0665,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.6429,                 1.7363,                 1.8114,                 1.0384,                0.57846,                0.21729,                0.28876,                0.14707,                0.48882,                0.18848,                0.24793,                0.11362,                 1.6028,                  1.599,                 1.1271,                 1.0486,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.6339,                 1.7703,                 1.6194,                 1.0476,                0.56672,                0.22329,                0.26473,                 0.1333,                0.45029,                0.18727,                0.21669,                 0.1033,                 1.6047,                 1.5334,                 1.0869,                 1.0434,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.6537,                 1.5779,                 1.6098,                 1.0631,                0.58537,                0.23289,                0.28464,                0.14659,                0.51345,                0.21729,                0.27097,                0.13574,                 1.4532,                 1.4146,                 1.0615,                 1.0242,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.5839,                 1.6021,                  1.567,                 1.0316,                0.55095,                0.22809,                0.26131,                0.13292,                0.47719,                0.21849,                0.25425,                0.11651,                 1.5702,                 1.4608,                 1.0704,                 1.0873,                0.00101,                0.00101,                0.00101
                     52,                  1.619,                 1.7154,                 1.5935,                 1.0145,                0.60274,                0.23409,                0.28673,                0.14941,                0.50677,                0.20888,                0.25651,                0.12531,                  1.525,                 1.4542,                 1.0699,                 1.0593,              0.0009902,              0.0009902,              0.0009902
                     53,                  1.569,                 1.7267,                 1.5882,                 1.0414,                0.61484,                 0.2401,                0.26141,                0.13239,                0.49893,                0.21729,                0.23538,                0.09801,                 1.4916,                 1.5241,                 1.1301,                 1.0423,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.6112,                 1.6421,                 1.4572,                  1.016,                 0.5865,                 0.2509,                0.25027,                0.12216,                0.47713,                0.22569,                0.23146,                0.10877,                 1.5166,                 1.4001,                 1.1047,                 1.0435,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.6329,                 1.7481,                  1.629,                 1.0689,                0.57144,                0.22929,                0.25757,                0.13518,                0.51373,                0.21128,                0.24807,                0.11403,                 1.4874,                 1.4696,                 1.1418,                  1.045,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.5902,                 1.5908,                  1.554,                 1.0548,                0.55363,                0.22929,                0.22968,                0.11798,                0.46645,                0.19808,                0.20367,                0.08867,                 1.5498,                 1.5233,                 1.1734,                 1.0499,               0.000911,               0.000911,               0.000911
                     57,                  1.574,                 1.7165,                 1.6266,                 1.0794,                 0.5649,                 0.2425,                0.23279,                0.11938,                0.48631,                 0.2401,                0.22567,                0.10204,                 1.4624,                 1.4038,                 1.1621,                 1.0282,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.5676,                 1.6422,                 1.5489,                 1.0153,                0.61131,                0.23529,                0.27746,                0.14675,                0.52463,                0.21369,                0.25255,                0.11836,                 1.4422,                 1.4563,                 1.1277,                 1.0262,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.5658,                 1.6329,                 1.6113,                 1.0279,                0.56114,                0.23025,                0.24772,                0.13907,                0.46558,                0.22209,                0.22998,                0.11383,                 1.3938,                 1.4876,                 1.0488,                 1.0077,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.5661,                 1.7329,                 1.5215,                 1.0146,                0.62744,                 0.2401,                0.28893,                0.15205,                0.57107,                0.22689,                0.27423,                0.12142,                 1.4623,                 1.4099,                 1.1252,                 1.0078,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.5249,                 1.7059,                 1.5111,                 1.0022,                0.60606,                 0.2377,                0.27693,                0.15455,                0.48033,                0.20971,                0.24525,                0.11303,                 1.4229,                  1.391,                 1.0414,                  1.001,               0.000812,               0.000812,               0.000812
                     62,                 1.5505,                 1.5793,                 1.5067,                 1.0535,                0.60662,                0.21849,                0.26845,                0.14693,                0.53195,                0.19808,                0.24961,                0.11705,                 1.4643,                 1.4812,                 1.1421,                 1.0192,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4756,                 1.5872,                 1.4099,                 1.0106,                0.63098,                0.23409,                0.26967,                0.14651,                0.54681,                0.21729,                0.24608,                 0.1125,                 1.4541,                  1.396,                 1.0384,                 0.9941,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4896,                 1.5428,                 1.4106,                 1.0012,                0.61229,                 0.2413,                0.30484,                 0.1669,                0.51703,                0.21008,                0.27236,                0.12845,                 1.4231,                 1.4349,                 1.0369,                0.99859,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4905,                  1.567,                 1.4761,                 1.0191,                 0.6447,                 0.2485,                0.28858,                0.15476,                0.52192,                0.21369,                0.26477,                0.12252,                 1.4075,                  1.396,                 1.0381,                0.99425,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.5584,                 1.5623,                 1.4957,                 1.0574,                 0.6607,                0.22689,                0.29551,                0.15872,                0.57291,                0.20935,                0.27528,                0.13159,                 1.4219,                 1.3789,                 1.0716,                0.99677,               0.000713,               0.000713,               0.000713
                     67,                 1.5369,                 1.5489,                   1.45,                 1.0378,                0.61537,                0.23049,                0.28623,                0.15258,                0.50051,                0.19088,                0.24134,                0.11946,                 1.4475,                  1.407,                 1.1087,                 1.0036,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.4922,                 1.5633,                 1.5343,                 1.0069,                0.62614,                0.22569,                0.29846,                0.15629,                0.53497,                0.19328,                0.25393,                0.11999,                  1.436,                 1.3845,                 1.1036,                 1.0009,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.5524,                 1.5468,                 1.4436,                 1.0152,                 0.5905,                0.22331,                0.28407,                0.15375,                0.49504,                0.19419,                0.24149,                0.11637,                 1.4431,                 1.3703,                 1.0951,                 1.0061,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.4925,                 1.6089,                 1.4815,                 1.0338,                0.61606,                 0.2389,                0.27327,                0.15175,                0.51299,                0.21008,                0.24725,                0.11668,                 1.3908,                 1.3844,                 1.0589,                 1.0026,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.4668,                 1.4524,                 1.3858,                0.98233,                0.59035,                0.23169,                0.27578,                0.15354,                0.50043,                0.20168,                0.24223,                0.11521,                 1.4058,                 1.3833,                 1.0809,                 1.0153,               0.000614,               0.000614,               0.000614
                     72,                 1.5069,                 1.6358,                 1.4579,                 1.0385,                0.60698,                0.24659,                0.27897,                0.15868,                0.53497,                0.22209,                0.25884,                0.12009,                 1.3456,                  1.378,                 0.9895,                0.98331,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.4504,                 1.4716,                 1.4056,                0.99341,                0.66003,                0.22209,                0.30525,                 0.1678,                0.56163,                0.19208,                0.26893,                0.12694,                 1.4137,                 1.3616,                 1.0853,                 1.0005,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4363,                 1.5615,                 1.4618,                 1.0007,                0.62401,                 0.2351,                0.29564,                0.16816,                0.52502,                0.20303,                0.26222,                0.13153,                 1.3299,                 1.2802,                0.98941,                0.98629,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.4748,                 1.7691,                 1.3685,                0.99827,                0.59808,                0.22929,                0.26491,                0.15034,                0.52138,                0.21055,                0.24758,                0.11641,                 1.3246,                 1.3111,                 1.0581,                 1.0034,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.4166,                 1.5646,                 1.3619,                  1.002,                0.66019,                0.23169,                0.30079,                0.16833,                 0.5749,                0.20528,                0.26803,                0.13398,                 1.3338,                 1.3365,                 1.0935,                0.97356,               0.000515,               0.000515,               0.000515
                     77,                  1.479,                 1.4699,                 1.4006,                0.99536,                0.65775,                 0.2461,                0.29418,                0.16582,                0.56795,                0.22329,                0.26459,                0.12097,                 1.3138,                 1.2582,                0.97969,                 0.9713,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.3937,                 1.5108,                  1.339,                0.99562,                0.70693,                0.22929,                0.30193,                0.17178,                0.59587,                0.19808,                0.26815,                0.12787,                 1.3292,                 1.3163,                 1.1626,                0.97563,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.4215,                 1.3624,                 1.5674,                0.96063,                0.65864,                0.23289,                0.29813,                0.16925,                0.53821,                0.19568,                0.25235,                0.12374,                 1.3135,                 1.3422,                 1.0584,                0.98008,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.4273,                  1.494,                 1.3529,                0.96225,                 0.6477,                0.24278,                 0.2994,                0.17185,                0.51626,                0.21012,                0.25965,                0.12444,                 1.2667,                 1.2859,                0.98693,                0.96876,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.4134,                 1.4804,                 1.4845,                0.98181,                0.64375,                0.24946,                0.29203,                0.16888,                0.56385,                0.23289,                 0.2774,                 0.1341,                 1.2552,                  1.289,                0.92865,                0.95716,               0.000416,               0.000416,               0.000416
                     82,                 1.3685,                 1.4303,                 1.2626,                0.96319,                0.61766,                0.23049,                0.28598,                0.16345,                0.53588,                0.20791,                 0.2568,                  0.116,                 1.3146,                  1.356,                 1.0587,                0.97245,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.3068,                 1.5065,                 1.2671,                0.95709,                0.68539,                0.23289,                0.31192,                0.18032,                 0.5826,                0.20048,                0.27537,                0.13024,                 1.2832,                 1.2773,                 1.0036,                0.97096,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.3726,                  1.465,                 1.2814,                 0.9721,                0.61234,                0.24083,                0.29742,                0.17285,                0.52516,                0.21128,                 0.2613,                0.12749,                 1.2874,                 1.3099,                0.94107,                0.96274,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.3912,                 1.4341,                 1.3344,                0.97541,                0.62234,                 0.2521,                0.28367,                0.16488,                 0.5496,                 0.2377,                0.27499,                0.13173,                 1.2066,                 1.3036,                0.91061,                  0.957,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.3226,                 1.3624,                 1.2988,                0.96082,                0.63718,                 0.2437,                0.30224,                0.17696,                0.58435,                0.22689,                0.29154,                0.13888,                 1.2719,                 1.3099,                 0.9959,                0.96778,               0.000317,               0.000317,               0.000317
                     87,                  1.343,                 1.3212,                 1.2655,                0.96064,                0.65982,                0.23983,                0.30479,                0.17463,                0.56476,                0.21369,                0.27645,                0.13143,                 1.2853,                 1.2902,                 1.0256,                0.97135,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.3934,                 1.5519,                 1.3446,                0.95004,                0.70646,                0.23529,                0.31683,                0.18346,                0.57919,                0.19928,                0.27115,                0.13221,                 1.2663,                 1.3149,                0.98251,                0.96727,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.3629,                 1.4205,                 1.3109,                0.95575,                0.61825,                0.23913,                 0.2999,                0.17753,                0.55431,                0.21849,                0.28078,                0.13306,                 1.2585,                 1.3419,                0.92235,                0.96364,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.3331,                 1.4064,                 1.2775,                0.95348,                0.63636,                 0.2377,                0.29792,                0.17777,                0.55264,                0.21609,                0.27547,                0.13501,                 1.2438,                 1.2573,                0.97396,                0.96184,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.3163,                 1.4708,                 1.3301,                0.99977,                0.67553,                0.22089,                0.30056,                0.18276,                 0.5977,                0.19688,                0.28191,                0.14444,                 1.2257,                 1.2784,                 1.1091,                0.96047,               0.000218,               0.000218,               0.000218
                     92,                 1.4232,                 1.4112,                 1.4146,                 1.0221,                0.64696,                0.22929,                0.28588,                0.16868,                 0.5554,                0.19945,                0.25928,                0.12701,                 1.2544,                 1.2878,                 1.1036,                0.97079,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.2846,                  1.347,                 1.3044,                0.94658,                0.67077,                0.23049,                0.30619,                0.18467,                0.57797,                0.19893,                0.27481,                0.13788,                  1.216,                 1.2575,                 1.0164,                0.95756,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.3726,                 1.4528,                 1.3513,                0.97127,                0.65573,                 0.2378,                0.30653,                0.18301,                0.56323,                0.21008,                0.27974,                0.13487,                 1.2261,                 1.3168,                0.95639,                0.95336,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.2898,                 1.4758,                 1.3763,                0.97483,                0.66661,                0.22929,                0.31073,                0.18544,                0.55627,                0.19448,                0.27261,                0.13382,                 1.2174,                 1.2496,                 1.0204,                0.95448,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.2423,                 1.2895,                 1.2023,                0.98969,                0.64297,                0.22484,                0.29363,                0.17804,                0.55874,                0.20048,                0.27071,                 0.1393,                  1.212,                 1.2414,                 1.0205,                0.95349,               0.000119,               0.000119,               0.000119
                     97,                 1.2986,                 1.2806,                 1.3961,                0.95962,                0.65134,                0.22689,                0.30504,                0.18391,                0.55458,                0.20029,                0.27186,                0.13364,                 1.2159,                 1.2846,                0.96202,                0.94708,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.3591,                  1.539,                 1.2218,                0.97736,                0.62202,                0.22809,                0.29694,                0.17911,                0.53996,                0.20408,                0.26877,                0.13605,                    1.2,                 1.2379,                0.97251,                0.95216,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.2979,                 1.3379,                 1.3487,                0.95421,                0.63651,                0.22929,                0.29852,                0.18067,                0.56044,                 0.2097,                0.27856,                0.14225,                 1.2102,                 1.2522,                0.97726,                 0.9514,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.3254,                  1.419,                 1.2787,                0.99815,                0.63034,                0.23336,                0.29882,                0.18134,                 0.5485,                0.20888,                0.27173,                0.13617,                 1.2138,                 1.2669,                0.96326,                0.95143,               3.98e-05,               3.98e-05,               3.98e-05
